CWID	First	Last	Username	Email	Password
123978	Mickey	Mouse	mmouse	mmouse@mines.edu	pass1
444321	Donald	Duck	dduck	dduck@mines.edu	pass2
999777	Jane	Jetson	jjetson	jjetson@mines.edu	pass3
555123	Frodo	Baggins	fbaggins	fbaggins@mines.edu	pass4
988777	Bilbo	Baggins	bbaggins	bbaggins@mines.edu	pass5
478234	Winnie	Poohbear	pbear	pbear@mines.edu	pass6
120978	Daffy	Duck	daduck	daduck@mines.edu	pass7
409123	Wile	Coyote	wcoyote	wcoyote@mines.edu	pass8
128745	Road	Runner	rrunner	rrunner@mines.edu	pass10
765120	Marge	Simpson	msimpson	msimpson@mines.edu	pass11
876123	Charlie	Brown	cbrown	cbrown@mines.edu	pass12
333221	Lucy	VanPelt	lvanpelt	lvanpelt@mines.edu	pass13
752412	Bugs	Bunny	bbunny	bbunny@mines.edu	pass14
532109	Betty	Boop	bboop	bboop@mines.edu	pass14
223311	Lois	Griffin	lgriffin	lgriffin@mines.edu	pass15
443322	Wilma	Flintstone	wflintstone	wflintstone@mines.edu	pass16
443311	Fred 	Flintstone	fflintstone	fflintstone@mines.edu	pass17
784512	Peppa	Pig	ppig	ppig@mines.edu	pass18
834215	Turanga	Leela	leela	leela@mines.edu	pass19
920451	Sylvester	Cat	scat	scat@mines.edu	pass20
